 ,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PRD-1-1,1-PRD-2-1,1-PRD-3-1
0,0.0117304,0.0135725,0.0118574,171.253,338.838,506.453,526.949,0.000981733,0.000728054,0.000313582
1,0.0189297,0.0179831,0.0191999,302.981,405.96,501.188,734.683,0.00384992,0.0028965,0.00251736
2,0.00451542,0.00505525,0.00593817,187.501,291.963,286.715,312.707,0.000105115,0.000121717,0.000112406
3,0.0217765,0.0187896,0.0169964,228.588,491.066,608.822,759.909,0.00324018,0.0025491,0.00397228
4,0.00739747,0.00855258,0.00958667,164.053,239.171,377.242,474.738,4.47986e-05,5.93627e-05,6.84961e-05
5,0.012864,0.0148289,0.0180994,332.724,671.669,597.631,760.603,0.00166137,0.000886598,0.00185509
6,0.00888744,0.0108865,0.011035,183.232,348.7,390.852,530.911,0.0021678,0.00267824,0.00275835
7,0.0107717,0.0148547,0.0172782,229.813,394.925,516.679,731.724,0.00103132,0.00161752,0.00179886
8,0.00539983,0.00556192,0.00588257,201.044,255.134,269.579,304.395,4.15469e-05,4.96999e-05,4.85505e-05
9,0.0103278,0.0123579,0.013349,198.289,327.36,442.733,638.996,0.000810744,0.000903913,0.000553805
10,0.0071104,0.00917241,0.0100416,208.654,256.724,276.664,481.717,0.000108472,0.000121298,9.85115e-05
11,0.0117479,0.0150979,0.0188729,305.052,461.995,540.708,744.916,0.000410645,0.000555911,0.000834028
12,0.0110189,0.0135078,0.0133495,230.11,311.349,408.618,640.508,0.000657551,0.000611616,0.000194193
13,0.0132749,0.015271,0.0158061,230.104,411.687,531.995,725.058,0.00270725,0.00206241,0.000988893
14,0.0128939,0.0140505,0.0138133,284.724,479.906,677.178,697.438,0.00157393,0.000865065,0.000556453
15,0.00866763,0.0105124,0.0116404,172.778,307.012,431.932,577.086,1.33705e-05,9.43807e-06,4.29727e-05
16,0.012107,0.0149659,0.0144406,139.08,266.858,405.556,649.663,0.00013577,0.00046245,0.001057
17,0.00943131,0.0117205,0.0119838,143.048,254.424,365.192,551.921,0.00078088,0.00102329,0.00116435
18,0.00985702,0.0127108,0.0188935,325.685,526.057,691.405,766.304,0.000137837,4.18268e-05,0.000672967
19,0.0162744,0.0157789,0.0137321,227.068,530.781,545.812,713.572,0.00157624,0.00105738,0.00283901
20,0.00945624,0.0124862,0.0140699,219.224,299.042,465.249,671.327,0.000447486,0.000493681,0.000414106
21,0.0126116,0.0145547,0.0150435,185.419,383.309,462.753,690.922,0.00200437,0.000861582,0.000516281
22,0.0122218,0.0167379,0.0201117,398.922,568.013,691.17,779.933,0.000127335,0.000553405,0.00259945
23,0.00985234,0.0124472,0.0169486,301.315,347.199,534.616,745.214,0.000983267,0.00100134,0.000858705
24,0.0124242,0.0138126,0.0132802,244.738,359.879,458.606,671.985,0.00190991,0.00129743,0.000275817
25,0.00871608,0.0107068,0.0117145,192.789,332.438,443.992,556.272,0.000574893,0.000651339,0.000567076
26,0.0170201,0.0180129,0.0174728,209.238,375.549,498.517,728.532,0.00390021,0.0024886,0.00127709
27,0.00844424,0.00987506,0.0108841,188.263,263.349,407.12,538.736,0.000312221,0.000361692,0.000335057
28,0.00840351,0.00962261,0.0147755,291.353,521.397,628.471,747.104,5.40684e-05,0.000120748,0.000936385
29,0.0170697,0.0161507,0.0163396,298.177,605.021,612.24,742.681,0.000787781,0.00122799,0.000511209
30,0.0302383,0.0252807,0.0248899,278.924,613.924,674.347,809.527,0.0174592,0.0127335,0.00575173
31,0.0283425,0.0217423,0.018317,281.057,533.199,613.413,699.547,0.00995559,0.00712913,0.00421347
32,0.00942645,0.0109987,0.011438,214.137,420.016,465.036,561.207,0.000790744,0.000988762,0.000934529
33,0.0082635,0.0100366,0.0129472,276.049,337.479,458.673,650.868,4.1244e-05,7.41065e-05,9.60796e-05
34,0.0132452,0.0157353,0.0215611,342.419,391.111,536.741,779.372,0.000223046,0.0011501,0.00320756
35,0.0088709,0.0108782,0.0112934,149.952,229.838,394.443,545.033,0.000282816,0.000362946,0.000321683
36,0.00471447,0.00572208,0.00637005,166.291,192.746,226.039,316.846,3.96716e-05,6.09403e-05,6.92792e-05
37,0.0112478,0.0130852,0.0139923,225.639,373.795,449.848,678.822,1.09691e-05,0.000120718,0.00022005
38,0.011158,0.0134277,0.0168061,198.408,400.308,567.606,735.89,2.46503e-05,0.000363074,0.00160961
39,0.0203389,0.0221389,0.0195534,220.563,533.492,594.434,738.788,0.00837279,0.00631584,0.00471262
