 ,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PRD-1-1,1-PRD-2-1,1-PRD-3-1
0,0.0210694,0.0212334,0.019889,171.253,303.154,316.2,406.758,0.00789102,0.00594086,0.004373
1,0.0276847,0.0245188,0.0184181,302.981,299.939,313.78,392.903,0.00243734,0.00129707,0.000925571
2,0.0123165,0.0111483,0.0145386,187.501,380.355,502.074,408.472,0.00272588,0.00171666,0.0018229
3,0.0238961,0.0211081,0.0210695,228.588,380.837,358.185,412.236,0.00364868,0.00299663,0.00288552
4,0.0103872,0.00960518,0.0104794,164.053,297.249,359.372,327.755,0.00134141,0.0017488,0.00161633
5,0.0129725,0.0165496,0.0211739,332.724,358.783,501.632,415.854,0.00101717,0.0021181,0.00428068
6,0.0127609,0.0134472,0.014149,183.232,336.103,413.549,393.984,0.000778845,0.00135528,0.00176192
7,0.0103952,0.0123676,0.0117005,229.813,379.787,405.437,371.798,0.000680819,0.00103116,0.000884803
8,0.013687,0.0152062,0.0154171,201.044,271.018,290.372,382.853,0.00333796,0.002533,0.00166409
9,0.0243785,0.0185609,0.014703,198.289,279.857,327.188,380.37,0.011094,0.0058707,0.00123198
10,0.0167635,0.0155224,0.0124058,208.654,240.121,346.516,362.73,0.00532828,0.00299736,0.00100732
11,0.0223167,0.0179305,0.0140668,305.052,303.152,341.639,396.676,0.0111516,0.0063611,0.00237691
12,0.0132814,0.0140431,0.0170464,230.11,455.94,532.545,423.959,0.00180665,0.000537564,0.00144408
13,0.0243973,0.0205953,0.0161161,230.104,379.528,393.558,402.846,0.012245,0.00808749,0.00377144
14,0.0178411,0.0178293,0.0150238,284.724,315.02,355.194,408.906,0.00811836,0.00639899,0.00377751
15,0.017954,0.0172836,0.0132631,172.778,201.692,261.374,340.3,0.00724172,0.00437912,0.00135375
16,0.0124267,0.0135258,0.0131314,139.08,238.933,321.705,372.063,0.00275671,0.00262284,0.00169281
17,0.023242,0.0216279,0.0170648,143.048,269.784,303.673,392.426,0.00282656,0.00339765,0.0035992
18,0.0188375,0.0188679,0.0222809,325.685,540.152,481.714,433.285,0.0077605,0.00638421,0.00903442
19,0.018215,0.0170381,0.0194306,227.068,330.017,395.295,420.322,0.00651372,0.00477166,0.00633152
20,0.0181182,0.0191175,0.0188576,219.224,243.531,263.626,400.355,0.0061336,0.00473799,0.00385769
21,0.0240559,0.0200504,0.0157123,185.419,272.319,298.224,377.76,0.00509184,0.00255688,0.000241074
22,0.0153055,0.0194944,0.0282052,398.922,462.593,388.215,426.086,0.000345464,0.00133886,0.00891759
23,0.0260881,0.0281968,0.0280863,301.315,391.429,353.577,412.328,0.0141293,0.0129032,0.0119367
24,0.0169047,0.0203237,0.0176259,244.738,366.803,302.93,408.058,0.000507937,0.000312238,0.00033627
25,0.0134341,0.0154304,0.0185341,192.789,321.75,343.639,421.859,0.00180684,0.00166442,0.00189958
26,0.0181633,0.0200396,0.0208648,209.238,246.692,261.33,417.378,0.00595702,0.00492291,0.00432933
27,0.00968166,0.0112594,0.0117418,188.263,241.792,289.981,340.636,0.00119216,0.00141452,0.00123719
28,0.0187606,0.0197523,0.0318023,291.353,503.249,490.524,431.063,0.00787386,0.0069084,0.00965844
29,0.0162552,0.0152602,0.0189628,298.177,390.33,516.814,421.753,0.00859445,0.00498055,0.00116519
30,0.0331988,0.0326909,0.0256475,278.924,347.567,333.361,398.891,0.0193516,0.0151836,0.010783
31,0.0577342,0.0511362,0.029338,281.057,311.55,350.232,403.196,0.0327598,0.0310344,0.016343
32,0.0133716,0.017955,0.022686,214.137,329.536,349.785,425.785,0.000396668,0.00122481,0.00351064
33,0.0185811,0.0222981,0.0259223,276.049,267.559,312.286,425.513,0.00784567,0.00867666,0.0116176
34,0.0171474,0.0159773,0.0171668,342.419,526.514,591.023,437.113,0.00128419,0.000182661,0.00265217
35,0.0167962,0.0172243,0.0152236,149.952,282.165,377.449,408.352,0.00252842,0.00276513,0.00310046
36,0.012454,0.0134702,0.0143526,166.291,256.9,339.116,397.145,0.00285157,0.00249645,0.00175806
37,0.0220904,0.0204589,0.0170509,225.639,332.932,361.629,419.905,0.00282359,0.000951715,0.00116257
38,0.018955,0.0201117,0.0221474,198.408,339.456,387.15,427.537,0.000604513,0.000875672,0.00505968
39,0.0264074,0.0289013,0.0245789,220.563,379.21,412.723,423.954,0.000584245,0.000256053,0.000248738
