 ,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PRD-1-1,1-PRD-2-1,1-PRD-3-1
0,0.0289738,0.0274326,0.0290106,291.419,448.03,448.101,428.952,0.0138433,0.0110284,0.0111597
1,0.0826575,0.070937,0.0397483,515.577,380.72,385.507,412.841,0.0503191,0.0480844,0.0249636
2,0.0281251,0.0221949,0.0245033,319.066,533.244,654.638,429.084,0.00445123,0.00576102,0.00577363
3,0.0282864,0.0275472,0.0253775,388.985,449.249,513.005,431.604,0.00401374,0.00306967,0.00189205
4,0.0634366,0.0578659,0.0362747,351.6,433.149,349.317,431.669,0.0468875,0.0423382,0.0237428
5,0.0210331,0.0184673,0.0192821,279.166,472.634,450.938,427.466,0.0105371,0.00788879,0.0061556
6,0.0332708,0.0330935,0.034123,566.19,545.73,600.687,431.563,0.0174585,0.0166196,0.0178148
7,0.0238237,0.0229964,0.0222734,311.804,445.578,597.557,431.43,0.00502078,0.00390007,0.00436537
8,0.0140701,0.0166617,0.0215077,391.068,582.564,610.911,436.066,0.00155043,0.00182324,0.00654708
9,0.0503947,0.0459505,0.02658,342.114,321.596,405.764,354.154,0.021049,0.0208911,0.0120761
10,0.0447388,0.0420528,0.0277062,337.424,407.283,332.988,432.642,0.0299514,0.0247783,0.0144933
11,0.0446799,0.0358164,0.0236704,355.064,390.651,430.677,387.545,0.0280818,0.0222051,0.0111073
12,0.0281108,0.0233594,0.0174541,519.101,421.601,537.027,427.631,0.0152671,0.0101524,0.00430202
13,0.0227652,0.0220008,0.0233795,391.575,701.886,668.666,435.832,0.0103758,0.00691622,0.00853781
14,0.0536496,0.0470027,0.0274489,391.564,490.381,420.935,433.392,0.0293102,0.02832,0.0144093
15,0.0221729,0.0218802,0.020976,418.649,454.035,436.395,433.68,0.0115855,0.00903923,0.00908198
16,0.0164854,0.0180728,0.0175217,236.671,338.593,375.239,430.855,0.00125425,0.00279763,0.000859691
17,0.0354009,0.0311833,0.0223753,243.422,313.783,321.366,401.518,0.000772425,0.0027057,0.00398648
18,0.0311942,0.0300802,0.0288273,554.212,725.735,764.11,447.102,0.0123725,0.00899651,0.00854067
19,0.0286444,0.0219727,0.0270447,325.464,473.026,516.202,420.753,0.00276248,0.00108087,0.00395901
20,0.0421466,0.039159,0.0319602,373.049,414.908,431.067,393.726,0.0280678,0.0230753,0.0180162
21,0.0314377,0.0252236,0.0171525,315.525,464.208,433.725,422.695,0.00231502,0.00265028,0.000344429
22,0.0511714,0.048094,0.0439809,512.744,516.125,426.316,422.695,0.035352,0.0319858,0.0278812
23,0.0522763,0.045516,0.0286436,416.466,474.097,506.778,424.897,0.0170587,0.0166043,0.00822189
24,0.072393,0.0641703,0.0311041,335.314,459.745,408.979,419.403,0.0525633,0.0487178,0.0154293
25,0.0309549,0.0283528,0.0307081,328.066,361.348,427.211,436.284,0.00121336,7.62E-05,0.00619422
26,0.026562,0.0248614,0.030618,356.056,335.941,391.307,436.5,0.0141,0.0122882,0.0157617
27,0.0226504,0.0181727,0.0195165,320.365,372.428,360.71,423.194,0.00325959,0.00191983,0.00222245
28,0.0408425,0.0376214,0.0228634,507.402,555.683,781.751,432.971,0.00265214,0.00742529,5.40E-05
29,0.0397994,0.033864,0.0378576,474.64,483.602,538.263,450.082,0.0154907,0.0131577,0.0247098
30,0.0488243,0.0458443,0.0532659,589.226,471.106,480.442,430.2,0.0104653,0.0118953,0.0297657
31,0.0841944,0.0783051,0.0368211,478.269,461.056,512.258,448.353,0.0476501,0.0468377,0.0151868
32,0.0243913,0.0295886,0.0324497,364.393,414.954,499.918,433.696,0.00747372,0.00675703,0.00613176
33,0.0300607,0.0286614,0.0509033,469.748,409.245,521.44,436.264,0.0162301,0.0160082,0.0362704
34,0.0363317,0.0330912,0.0218527,264.284,362.854,428.889,440.747,0.0110464,0.0096955,0.000487917
35,0.0351838,0.0269762,0.0254645,582.688,728.929,584.443,432.412,0.0034377,0.000635072,0.00792768
36,0.0221054,0.0227883,0.01823,255.17,377.654,397.483,428.779,0.00126196,0.000602127,0.00237876
37,0.0524383,0.0441949,0.0310125,491.922,475.306,505.628,408.398,0.0230147,0.0215559,0.0178597
38,0.0300849,0.0279577,0.0247211,337.627,477.393,481.965,439.615,0.00595536,0.00529497,0.005128
39,0.0325094,0.0323709,0.0275613,367.55,560.837,555.448,433.56,0.00746507,0.00597761,0.00728576
