 ,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PRD-1-1,1-PRD-2-1,1-PRD-3-1
0,0.00823627,0.00992661,0.00970466,64.9743,121.938,183.708,269.793,0.000223867,0.000280282,0.000287034
1,0.00349182,0.00376916,0.0045532,105.425,165.241,158.66,149.466,0.00062621,0.000739862,0.000636907
2,0.0112685,0.0142052,0.0124573,92.435,188.906,223.202,316.64,0.00180407,0.00227437,0.0024214
3,0.00471972,0.0044315,0.00629006,71.1386,182.022,191.109,197.634,7.18771e-05,0.000118445,0.000161548
4,0.00838996,0.00999389,0.0110767,155.668,208.24,256.055,334.256,0.000875977,0.00100391,0.000852933
5,0.00648246,0.00652318,0.00743862,140.519,218.533,225.924,226.035,0.00076138,0.000938516,0.000888792
6,0.00683584,0.00776108,0.00787351,65.63,153.398,190.581,224.749,0.000387249,0.000468933,0.00043156
7,0.00525356,0.0058921,0.0071343,126.237,213.736,231.533,231.72,0.000230732,0.000280452,0.000258752
8,0.00531156,0.00611708,0.00585069,69.5195,127.269,166.057,170.647,0.000723428,0.000847332,0.000731167
9,0.00465757,0.00550491,0.00606006,76.2773,101.528,128.348,172.463,4.21441e-05,3.14189e-05,6.86492e-06
10,0.00682026,0.0070461,0.0059633,115.738,154.219,194.124,174.14,0.000161952,0.00018187,0.000142534
11,0.00528124,0.00580187,0.00742629,87.3051,183.188,232.776,239.386,0.000161062,0.000196643,0.000180571
12,0.00801813,0.00919649,0.00844531,108.026,131.008,210.908,233.371,0.000151607,0.000177721,0.000154098
13,0.00973609,0.0121905,0.0130923,89.7959,204.385,262.754,373.748,0.000429689,0.00050547,0.000571068
14,0.00754767,0.00799523,0.0090441,123.566,228.093,275.739,271.399,0.000130599,0.000161664,0.000155421
15,0.00621444,0.00702949,0.00654751,88.6409,133.932,141.7,176.029,0.00171155,0.001974,0.00166279
16,0.00744695,0.00849371,0.00751932,86.151,181.14,218.328,209.601,1.7388e-05,3.24851e-05,0.000115859
17,0.00603278,0.00737474,0.00818554,83.1745,103.809,158.959,239.376,0.000319839,0.000394296,0.000371977
18,0.00720198,0.0081975,0.00736,70.3491,116.919,160.343,194.604,0.000792549,0.000957524,0.000878205
19,0.00655353,0.00831558,0.00904602,108.734,189.117,225.965,266.476,2.29315e-05,1.61516e-05,5.41569e-06
20,0.00760919,0.00885098,0.0103556,151.353,177.547,263.736,303.267,6.18759e-05,4.87458e-05,8.5176e-07
21,0.0084273,0.0107118,0.0110483,114.321,182.184,179.093,305.202,5.44924e-05,2.08528e-05,1.48383e-05
22,0.00567063,0.00774733,0.00854837,92.855,127.96,160.591,246.256,0.000192752,0.000223061,0.000186568
23,0.00784623,0.00894339,0.00883924,108.636,181.617,225.001,254.909,0.0002463,0.000324371,0.000343309
24,0.00571129,0.00614749,0.00648488,73.343,137.302,171.378,185.986,4.80892e-05,7.05045e-05,8.85024e-05
25,0.00371279,0.0042857,0.00450438,71.428,92.9007,110.797,129.449,0.000365838,0.00043829,0.000406909
26,0.00779521,0.00850057,0.00934962,98.3852,200.835,210.554,268.619,0.000156525,0.000213089,0.000232328
27,0.0111373,0.0129892,0.0112236,119.553,233.192,301.777,314.795,0.00106668,0.00137099,0.00132783
28,0.0110312,0.0135852,0.0148929,110.541,272.751,319.613,394.666,0.00068856,0.000708058,0.000918308
29,0.00973329,0.0113726,0.0122541,105.456,177.431,271.498,341.826,0.000526141,0.000627823,0.000624872
30,0.00647062,0.00751696,0.00807252,150.864,195.575,257.777,246.921,4.43935e-06,2.99486e-06,1.49341e-06
31,0.00676401,0.00765723,0.00834937,113.13,193.685,258.233,270.692,0.00183245,0.00226485,0.00215979
32,0.00572269,0.00795583,0.00850409,143.102,230.365,247.129,267.834,9.60817e-05,0.000110595,9.22691e-05
33,0.00924493,0.0114716,0.0119329,81.2449,143.06,209.068,334.416,0.00144806,0.0016618,0.00135634
34,0.00653188,0.00809403,0.00962752,129.915,188.189,219.384,293.228,1.2968e-05,2.51975e-05,3.94667e-05
35,0.00595879,0.00702402,0.00743959,103.927,205.619,243.232,216.35,0.000102492,0.000126721,0.000118014
36,0.00843429,0.0105565,0.0104647,111.669,178.511,256.695,286.431,3.25174e-05,8.01996e-06,1.05631e-05
37,0.0127236,0.0148472,0.0134984,83.6826,229.47,272.977,380.937,0.00124423,0.000906364,0.000283217
38,0.00447248,0.00484954,0.00586069,79.5698,191.581,191.114,180.192,1.9101e-05,1.25472e-05,2.93919e-06
39,0.00987703,0.0110738,0.0101767,84.367,148.891,229.006,276.768,0.000307875,0.000358007,0.000193223
