comp_id,B1031.001,B1031.001,B1031.001,B1031.001,B1031.011a,B1031.011a,B1031.011a,B1031.011a,B1031.021a,B1031.021a,B1031.021a,B1035.001,B1035.001,B1035.001,B1035.011,B1035.011,B1035.011,B2011.201a,B2011.201a,B2011.201b,B2022.002,B2022.002,C1011.001b,C1011.001b,C1011.001b,C2011.001b,C2011.001b,C2011.001b,C3011.001b,C3027.002,C3032.003a,C3032.003a,C3032.003a,C3032.003b,C3032.003b,C3032.003b,C3032.003c,C3032.003c,C3032.003c,C3032.003d,C3032.003d,C3032.003d,C3034.002,D1014.011,D1014.011,D1014.011,D1014.011,D2021.013a,D2021.013a,D2021.013b,D2021.023a,D2021.023a,D2021.023b,D2021.023b,D2031.023a,D2031.023b,D2051.023a,D2051.023a,D2051.023b,D2051.023b,D3031.013c,D3031.013c,D3031.013c,D3031.022c,D3031.022c,D3031.022c,D3041.001c,D3041.001c,D3041.011c,D3041.011c,D3041.012c,D3041.012c,D3041.032c,D3041.103c,D3041.103c,D3041.103c,D3052.013c,D3052.013c,D3052.013c,D3052.013c,D3067.012c,D3067.012c,D3067.012c,D4011.023a,D4011.023a,D4011.053a,D4011.053a,D5011.013c,D5011.013c,D5011.013c,D5012.013d,D5012.013d,D5012.013d,D5012.023c,D5012.023c,D5012.023c,D5012.033c,D5012.033c,D5012.033c
ds_seq_id,1,1,2,3,1,1,2,3,1,1,2,1,2,3,1,2,3,1,1,1,1,2,1,2,3,1,2,3,1,1,1,2,3,1,2,3,1,2,3,1,2,3,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
ds_sub_id,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,1,1,1,1,1,1,1,2,3,1,2,3,4,1,2,3,1,1,1,1,1,2,3,1,2,3,1,2,3,1,2,3
